ItemNumber,StockNow,ChangeQty,StockChangeDateTime,ChangeSource,ItemImageId
"PC132154","31","1","2016-07-18 21:21:07","DIRECT ADJUSTMENT BY Donald","2d7d3f94-8248-4561-ad14-5d4db8d04a44"
"PC137363","5","1","2016-07-18 21:19:05","DIRECT ADJUSTMENT BY Donald","509f8459-9a01-49c6-872e-a6dff549516c"
"PC300464","2","1","2016-07-18 21:16:02","DIRECT ADJUSTMENT BY Katrina","ed889382-4cd3-4f31-a7b8-ebff546fc01d"
"PC135030","4","1","2016-07-18 21:15:47","DIRECT ADJUSTMENT BY Lauren","19043933-e6fb-41a4-b012-89731e11d8dc"
"PC123386","1","1","2016-07-18 21:15:29","DIRECT ADJUSTMENT BY Donald","150c2011-55d8-4a58-8c9c-c2892ee4f549"
"PC135365","18","1","2016-07-18 21:13:48","DIRECT ADJUSTMENT BY Lauren","d52d296c-609b-46a7-9ba1-4df9578037c9"
"PC135365","18","1","2016-07-18 21:13:48","DIRECT ADJUSTMENT BY Lauren","6235c8f4-c935-45d1-af29-79a6497af777"
"PC132161","2","1","2016-07-18 21:12:32","DIRECT ADJUSTMENT BY Donald","b560fadf-9740-4b50-ba6f-058920ce76c6"
"PC300569","2","1","2016-07-18 21:11:59","DIRECT ADJUSTMENT BY Katrina","7f406b04-2739-47aa-a5d1-29b94159baf7"
"PC111582","2","1","2016-07-18 21:10:40","DIRECT ADJUSTMENT BY Donald","258bd449-aa0b-4e6c-8183-c6a0fb4f91ad"
"PC111582","2","1","2016-07-18 21:10:40","DIRECT ADJUSTMENT BY Donald","432a7cf0-7863-4c08-b019-f0dd8eec347c"
"PC111315","1","1","2016-07-18 21:04:57","DIRECT ADJUSTMENT BY Donald","7adb392d-9e0c-4347-be1c-32f9057773e0"
"PC107656","19","1","2016-07-18 20:59:18","DIRECT ADJUSTMENT BY Lauren","c155565a-d65e-4740-b328-9fd037eb8bfe"
"PC109858","13","1","2016-07-18 20:59:08","DIRECT ADJUSTMENT BY Donald","99e88bba-3b10-47c6-9baa-df74e29f561f"
"PC100847","5","1","2016-07-18 20:57:18","DIRECT ADJUSTMENT BY Lauren","0d1e479c-3502-4ccf-90c0-fa8f5f8a0c7e"
"PC130460","2","1","2016-07-18 20:56:45","DIRECT ADJUSTMENT BY Donald","868180cf-b5f0-4538-918c-95551be90bde"
"PC100846","5","1","2016-07-18 20:55:12","DIRECT ADJUSTMENT BY Lauren","b828eaf1-3574-42b2-9350-b51b0567490e"
"PC119685","2","1","2016-07-18 20:54:28","DIRECT ADJUSTMENT BY Donald","07bc249a-1d09-4c5f-a5cf-0a720e5be634"
"PC119685","2","1","2016-07-18 20:54:28","DIRECT ADJUSTMENT BY Donald","410109d5-a186-4fb7-8690-b2b01b6e1366"
"PC128417","1","1","2016-07-18 20:51:28","DIRECT ADJUSTMENT",""
"PC107544","33","1","2016-07-18 20:50:20","DIRECT ADJUSTMENT BY Donald","b1ee0b1e-5c71-4c0c-ad10-a7d27bbd10b7"
"PC100994","1","1","2016-07-18 20:50:02","DIRECT ADJUSTMENT",""
"PC100992","1","1","2016-07-18 20:47:58","DIRECT ADJUSTMENT",""
"PC132879","2","1","2016-07-18 20:43:19","DIRECT ADJUSTMENT BY Lauren","219f6f72-0b15-421a-8c60-28883541c1f2"
"PC300155","5","1","2016-07-18 20:42:37","DIRECT ADJUSTMENT BY Katrina","bed7ede0-7288-4fd0-a9f2-dbca55a3cd73"
"PC107543","32","1","2016-07-18 20:42:31","DIRECT ADJUSTMENT BY Donald","c6f94579-1379-429b-b93a-ba7584179c74"
"PC128573","1","1","2016-07-18 20:41:08","DIRECT ADJUSTMENT",""
"PC107539","34","1","2016-07-18 20:39:33","DIRECT ADJUSTMENT BY Donald","32e4a52f-214e-416c-95a4-53f5e0f23403"
"PC107542","24","1","2016-07-18 20:36:42","DIRECT ADJUSTMENT BY Donald","e21e77c0-bbcf-4290-b8ac-06a0ab7ede7a"
"PC109716","29","1","2016-07-18 20:34:56","DIRECT ADJUSTMENT BY Donald","2a8b04f7-57b0-4729-b6c3-342dd61ad3ae"
"PC300700","2","1","2016-07-18 20:33:58","DIRECT ADJUSTMENT BY Katrina","17747d40-1a4c-4867-9f2e-c9c2061701f0"
"PC119025","1","1","2016-07-18 20:31:10","DIRECT ADJUSTMENT BY Donald","4567f0a3-3540-470d-879d-bb6c52a7aff2"
"PC130450","1","1","2016-07-18 20:29:33","DIRECT ADJUSTMENT BY Donald","021d0a38-31cb-49d6-8c07-c4f50cdf4975"
"PC300989","1","1","2016-07-18 20:27:45","DIRECT ADJUSTMENT BY Katrina",""
"PC135758","13","1","2016-07-18 20:27:18","DIRECT ADJUSTMENT BY Donald","502633f8-2cc8-4e99-be52-c9b47f5b39d8"
"PC100993","1","1","2016-07-18 20:19:27","DIRECT ADJUSTMENT",""
"PC124648","1","1","2016-07-18 20:18:13","DIRECT ADJUSTMENT",""
"PC118833","2","1","2016-07-18 20:16:34","DIRECT ADJUSTMENT BY Lauren","a8d7f3f3-f016-47d6-9a9b-57c554f5d4dd"
"PC118833","2","1","2016-07-18 20:16:34","DIRECT ADJUSTMENT BY Lauren","000aa7e4-7d33-417f-91df-a8750933c7c4"
"PC129286","1","1","2016-07-18 20:16:26","DIRECT ADJUSTMENT BY Donald","45d0efe6-5413-4ccb-bbd3-b26ba5d4de18"
"PC131399","1","1","2016-07-18 20:14:42","DIRECT ADJUSTMENT BY Lauren","9738f6d2-c08d-42df-8778-72c78a9f9625"
"1450","6","1","2016-07-18 20:13:42","DIRECT ADJUSTMENT BY Lauren","21ea360b-d794-431b-9d68-eabb97a41a6d"
"PC129247","1","1","2016-07-18 20:13:31","DIRECT ADJUSTMENT",""
"PC112433","1","1","2016-07-18 20:13:00","DIRECT ADJUSTMENT",""
"PC126208","1","1","2016-07-18 20:12:34","DIRECT ADJUSTMENT BY Devan","a959e129-356d-43b3-990d-faf8422119b8"
"PC135240","7","1","2016-07-18 20:11:29","DIRECT ADJUSTMENT BY Donald","0e320a54-9654-4132-b7cd-f97200cde94c"
"PC138169","2","1","2016-07-18 20:11:00","DIRECT ADJUSTMENT BY Lauren",""
"PC113202","1","1","2016-07-18 20:09:27","DIRECT ADJUSTMENT",""
"PC108712","14","1","2016-07-18 20:09:00","DIRECT ADJUSTMENT BY Devan","aae356af-5ba2-4570-95f8-7921850d30f8"
"PC103101","1","1","2016-07-18 20:08:10","DIRECT ADJUSTMENT",""
"PC300126","6","1","2016-07-18 20:07:24","DIRECT ADJUSTMENT BY Katrina","3486b955-86e1-4fdb-9012-03874e8a4b6a"
"PC107730","15","1","2016-07-18 20:06:58","DIRECT ADJUSTMENT BY Lauren","89e03760-b7ea-4c70-bad1-1b8f5b4aa2f3"
"PC107729","16","1","2016-07-18 20:05:37","DIRECT ADJUSTMENT BY Lauren","7d40aa4a-ef18-4a1f-91a0-f627423b5da1"
"PC107138","15","1","2016-07-18 20:04:47","DIRECT ADJUSTMENT BY Donald","b77f3b4c-038c-473e-93a3-1d68775bfa2e"
"PC300988","1","1","2016-07-18 20:02:53","DIRECT ADJUSTMENT BY Katrina",""
"PC107137","14","1","2016-07-18 20:02:45","DIRECT ADJUSTMENT BY Donald","2726e65e-f53d-4731-8b6e-d861691ad100"
"PC107657","1","1","2016-07-18 20:02:39","DIRECT ADJUSTMENT",""
"PC100849","5","1","2016-07-18 20:01:42","DIRECT ADJUSTMENT BY Lauren","4592a6bc-b2b3-410d-9b39-14b50a1f8c13"
"PC135239","5","1","2016-07-18 20:00:49","DIRECT ADJUSTMENT BY Donald","febfda94-f602-4c91-93cd-df4420ea2f36"
"PC100848","4","1","2016-07-18 20:00:26","DIRECT ADJUSTMENT BY Lauren","7a37dc90-cd82-4b27-b690-0864279f694a"
"PC133078","1","1","2016-07-18 19:58:40","DIRECT ADJUSTMENT BY Devan","f0459a79-5547-43c6-bec0-3c4a09a4879c"
"PC100995","1","1","2016-07-18 19:58:30","DIRECT ADJUSTMENT",""
"PC300987","1","1","2016-07-18 19:56:42","DIRECT ADJUSTMENT BY Katrina",""
"PC101302","1","1","2016-07-18 19:56:24","DIRECT ADJUSTMENT BY Devan","e7af1f2d-e600-42a1-9ef5-8c2b89539415"
"PC115349","2","1","2016-07-18 19:55:56","DIRECT ADJUSTMENT BY Donald","8538323a-d8dc-4f31-a5a2-cc57bd86b171"
"PC115636","5","1","2016-07-18 19:52:48","DIRECT ADJUSTMENT BY Donald","7627065b-7a38-44a4-9d0b-0bd19f4bb76c"
"PC115605","1","1","2016-07-18 19:52:15","DIRECT ADJUSTMENT",""
"PC103192","23","1","2016-07-18 19:52:06","DIRECT ADJUSTMENT BY Lauren","e9f283dc-4090-460b-843e-9d39279578b2"
"PC103191","19","1","2016-07-18 19:50:39","DIRECT ADJUSTMENT BY Lauren","00205b21-43f4-4ad1-bcf5-e8692a766456"
"PC112252","3","1","2016-07-18 19:27:23","DIRECT ADJUSTMENT BY Devan","ea5cf8c9-434c-439e-8efd-1db2c11e9ed9"
"PC110641","6","1","2016-07-18 19:25:36","DIRECT ADJUSTMENT BY Devan","d36f054c-0238-495c-b139-79794bc84661"
"PC107135","11","1","2016-07-18 19:24:57","DIRECT ADJUSTMENT BY Donald","0bc50412-69d1-4285-9013-0bea81d7f21a"
"PC102558","5","1","2016-07-18 19:19:35","DIRECT ADJUSTMENT BY Devan","73317988-ec1b-4b80-b444-14cb72956cba"
"PC107134","12","1","2016-07-18 19:18:06","DIRECT ADJUSTMENT BY Donald","ff74cd19-7dfe-4348-b9e6-ee5dae9babed"
"PC102557","5","1","2016-07-18 19:17:37","DIRECT ADJUSTMENT BY Devan","a0419423-57ee-4c64-9127-b8bf89838ae8"
"PC128934","1","1","2016-07-18 19:15:27","DIRECT ADJUSTMENT BY Devan","9ad9390d-53c2-42bb-837f-c85b9019c01d"
"PC102795","1","1","2016-07-18 19:14:00","DIRECT ADJUSTMENT",""
"PC113613","7","1","2016-07-18 19:13:37","DIRECT ADJUSTMENT BY Donald","236d4f75-9b3a-440c-8451-3ebdf3f5430e"
"PC114310","1","1","2016-07-18 19:12:56","DIRECT ADJUSTMENT BY Devan","c131dade-8db2-4a04-a309-38e076bdc0fd"
"PC107537","45","1","2016-07-18 19:12:44","DIRECT ADJUSTMENT BY Lauren","600ea773-d337-46c8-9592-71e07d85cd83"
"PC138810","1","1","2016-07-18 19:10:37","DIRECT ADJUSTMENT BY Lauren","9076f2cb-9a26-4d6b-bfec-d72861321230"
"PC126596","1","1","2016-07-18 19:09:39","DIRECT ADJUSTMENT BY Devan","1b22a98e-f630-4f0e-950e-0aefcae7bb1a"
"PC111575","18","1","2016-07-18 19:09:02","DIRECT ADJUSTMENT BY Lauren","6eed4ca8-f99e-4802-ba6b-5272b0d9bec6"
"PC111575","18","1","2016-07-18 19:09:02","DIRECT ADJUSTMENT BY Lauren","58e34576-3e4e-46c4-85c6-c35eb1b2c4e6"
"PC101249","36","1","2016-07-18 19:07:12","DIRECT ADJUSTMENT BY Lauren","53960237-3865-4298-96b9-48dc58d7da37"
"PC109207","14","1","2016-07-18 19:06:27","DIRECT ADJUSTMENT BY Donald","8d78e6f1-4d28-40a2-ae12-d95320fd74dd"
"PC131502","1","1","2016-07-18 19:05:30","DIRECT ADJUSTMENT BY Devan","33638205-98ad-47a8-bfe5-238ad41eddae"
"PC300667","6","1","2016-07-18 19:05:15","DIRECT ADJUSTMENT BY Katrina","357eba2a-993e-45b2-9676-325c62d55a6f"
"PC300986","1","1","2016-07-18 19:04:17","DIRECT ADJUSTMENT BY Katrina",""
"PC113460","7","1","2016-07-18 19:00:06","DIRECT ADJUSTMENT BY Devan","d6e8636e-0eca-4632-b0e8-623d12cb4406"
"PC130460","1","1","2016-07-18 18:57:20","DIRECT ADJUSTMENT BY Devan","868180cf-b5f0-4538-918c-95551be90bde"
"PC106570","72","1","2016-07-18 18:56:38","DIRECT ADJUSTMENT BY Lauren","3ff9e655-d455-4f41-b9b1-9b8c1d9fe9e5"
"PC119685","1","1","2016-07-18 18:55:39","DIRECT ADJUSTMENT BY Devan","07bc249a-1d09-4c5f-a5cf-0a720e5be634"
"PC119685","1","1","2016-07-18 18:55:39","DIRECT ADJUSTMENT BY Devan","410109d5-a186-4fb7-8690-b2b01b6e1366"
"PC106618","70","1","2016-07-18 18:55:31","DIRECT ADJUSTMENT BY Lauren","472a8ce8-311a-475c-ab34-78470ad925a3"
"PC109858","12","1","2016-07-18 18:54:32","DIRECT ADJUSTMENT BY Devan","99e88bba-3b10-47c6-9baa-df74e29f561f"
"PC300985","1","1","2016-07-18 18:54:30","DIRECT ADJUSTMENT BY Katrina",""
"PC102797","1","1","2016-07-18 18:52:23","DIRECT ADJUSTMENT",""
"PC113290","1","1","2016-07-18 18:50:10","DIRECT ADJUSTMENT",""
"PC127660","1","1","2016-07-18 18:49:00","DIRECT ADJUSTMENT",""
"PC129992","1","1","2016-07-18 18:45:36","DIRECT ADJUSTMENT",""
"PC130397","2","1","2016-07-18 18:45:32","DIRECT ADJUSTMENT BY Devan","36cec9f7-1bfe-4eb9-83bf-faa1e692bcab"
"PC111282","2","1","2016-07-18 18:44:27","DIRECT ADJUSTMENT BY Devan",""
"PC300558","1","1","2016-07-18 18:43:43","DIRECT ADJUSTMENT BY Katrina","65b41358-53c5-424b-bd2e-6fbc0dcbd252"
"PC115727","1","1","2016-07-18 18:43:15","DIRECT ADJUSTMENT",""
"PC119586","2","1","2016-07-18 18:43:09","DIRECT ADJUSTMENT BY Devan",""
"5630","4","1","2016-07-18 18:41:15","DIRECT ADJUSTMENT BY Lauren","9394ecd1-4b20-4d9e-8d5c-5f0df3be6051"
"PC112285","1","1","2016-07-18 18:41:02","DIRECT ADJUSTMENT",""
"PC132156","3","1","2016-07-18 18:40:53","DIRECT ADJUSTMENT BY Devan","722029bd-53a3-429b-b3b6-315fb3109171"
"PC300248","2","1","2016-07-18 18:40:38","DIRECT ADJUSTMENT BY Katrina","1fb4c932-66eb-4202-8309-991ae630f3e3"
"PC111290","19","1","2016-07-18 18:39:30","DIRECT ADJUSTMENT BY Lauren","84f616aa-9076-4b6e-943c-924e73c92e66"
"PC136645","1","1","2016-07-18 18:38:19","DIRECT ADJUSTMENT",""
"PC137365","2","1","2016-07-18 18:37:50","DIRECT ADJUSTMENT BY Devan","ee2a1274-a86d-48f8-9c1e-8a028c5b6f4d"
"PC110878","2","1","2016-07-18 18:37:33","DIRECT ADJUSTMENT BY Lauren","80672fc0-fcfe-4969-8cd7-a660baea3be8"
"PC123365","7","1","2016-07-18 18:36:57","DIRECT ADJUSTMENT BY Devan","542b77ea-79f7-4f28-9d12-67c8c43b50c0"
"PC300077","7","1","2016-07-18 18:36:47","DIRECT ADJUSTMENT BY Katrina","da4b30c8-91ce-4a51-b9ef-6a574582278c"
